,prénom,nom,poste,équipe,championnat
0,Neto,,Goalkeeper,Arsenal FC,Premier League
1,David,Raya,Goalkeeper,Arsenal FC,Premier League
2,Tommy,Setford,Goalkeeper,Arsenal FC,Premier League
3,Jack,Porter,Goalkeeper,Arsenal FC,Premier League
4,Aleksei,Fedorushchenko,Goalkeeper,Arsenal FC,Premier League
5,Maldini,Kacurri,Defence,Arsenal FC,Premier League
6,Josh,Nichols,Defence,Arsenal FC,Premier League
7,Josh,Robinson,Defence,Arsenal FC,Premier League
8,Salah,Oulad M'Hand,Midfield,Arsenal FC,Premier League
9,Nathan,Butler-Oyedeji,Midfield,Arsenal FC,Premier League
10,Jimi,Gower,Midfield,Arsenal FC,Premier League
11,Ismeal,Kabia,Offence,Arsenal FC,Premier League
12,Jurrien,Timber,Centre-Back,Arsenal FC,Premier League
13,William,Saliba,Centre-Back,Arsenal FC,Premier League
14,Gabriel,Martinelli,Left Winger,Arsenal FC,Premier League
15,Gabriel,Magalhaes,Centre-Back,Arsenal FC,Premier League
16,Kieran,Tierney,Left-Back,Arsenal FC,Premier League
17,Takehiro,Tomiyasu,Right-Back,Arsenal FC,Premier League
18,Leandro,Trossard,Left Winger,Arsenal FC,Premier League
19,Declan,Rice,Defensive Midfield,Arsenal FC,Premier League
20,Mikel,Merino,Central Midfield,Arsenal FC,Premier League
21,Oleksandr,Zinchenko,Left-Back,Arsenal FC,Premier League
22,Martin,Ødegaard,Attacking Midfield,Arsenal FC,Premier League
23,Ben,White,Right-Back,Arsenal FC,Premier League
24,Raheem,Sterling,Left Winger,Arsenal FC,Premier League
25,Gabriel,Jesus,Centre-Forward,Arsenal FC,Premier League
26,Jorginho,,Defensive Midfield,Arsenal FC,Premier League
27,Kai,Havertz,Attacking Midfield,Arsenal FC,Premier League
28,Thomas,Partey,Defensive Midfield,Arsenal FC,Premier League
29,Ayden,Heaven,Centre-Back,Arsenal FC,Premier League
30,Myles,Lewis-Skelly,Defensive Midfield,Arsenal FC,Premier League
31,Ethan,Nwaneri,Attacking Midfield,Arsenal FC,Premier League
32,Jakub,Kiwior,Left-Back,Arsenal FC,Premier League
33,Riccardo,Calafiori,Centre-Back,Arsenal FC,Premier League
34,Bukayo,Saka,Right Winger,Arsenal FC,Premier League
35,Emiliano,Martinez,Goalkeeper,Aston Villa FC,Premier League
36,Robin,Olsen,Goalkeeper,Aston Villa FC,Premier League
37,Joe,Gauci,Goalkeeper,Aston Villa FC,Premier League
38,Oliwier,Zych,Goalkeeper,Aston Villa FC,Premier League
39,Sam,Proctor,Goalkeeper,Aston Villa FC,Premier League
40,Sil,Swinkels,Defence,Aston Villa FC,Premier League
41,Triston,Rowe,Defence,Aston Villa FC,Premier League
42,Thierry,Katsukunya,Defence,Aston Villa FC,Premier League
43,Ben,Broggio,Midfield,Aston Villa FC,Premier League
44,Aidan,Borland,Midfield,Aston Villa FC,Premier League
45,Jamaldeen,Jimoh,Midfield,Aston Villa FC,Premier League
46,John,McGinn,Central Midfield,Aston Villa FC,Premier League
47,Pau,Torres,Centre-Back,Aston Villa FC,Premier League
48,Emiliano,Buendia,Right Winger,Aston Villa FC,Premier League
49,Matty,Cash,Right-Back,Aston Villa FC,Premier League
50,Diego,Carlos,Centre-Back,Aston Villa FC,Premier League
51,Boubacar,Kamara,Defensive Midfield,Aston Villa FC,Premier League
52,Tyrone,Mings,Centre-Back,Aston Villa FC,Premier League
53,Ross,Barkley,Central Midfield,Aston Villa FC,Premier League
54,Ezri,Konsa,Centre-Back,Aston Villa FC,Premier League
55,Ollie,Watkins,Centre-Forward,Aston Villa FC,Premier League
56,Kortney,Hause,Centre-Back,Aston Villa FC,Premier League
57,Youri,Tielemans,Central Midfield,Aston Villa FC,Premier League
58,Lucas,Digne,Left-Back,Aston Villa FC,Premier League
